Titulo,Sku,Precios Originales,Precios Descuentos,Precios Envio,Stock
"Tarjeta de Video ASUS NVIDIA GeForce RTX 4070 TUF Gaming OC, 12GB 192-bit GDDR6X, PCI Express 4.0",90YV0IZ0-M0NA00,"$6,107.00","$12,079.00",$99.00,30
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$6,694.00","$4,049.00",$99.00,69
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$1,709.00","$5,369.00",$99.00,27
"Tarjeta de Video ASUS NVIDIA GeForce GT 730 Low Profile, 2GB 64-bit GDDR5, PCI Express 2.0",90YV06N2-M0NA00,"$5,786.00","$1,379.00",$99.00,2
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3060-O8G,"$6,914.00","$4,879.00",$99.00,12
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3060 WINDFORCE OC 12G, 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060WF2OC-12GD,"$6,626.00","$5,949.00",$99.00,178
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3050-O8G,"$6,583.00","$5,399.00",$99.00,16
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$18,405.00","$5,949.00",$99.00,30
"Tarjeta de Video MSI NVIDIA GeForce RTX 4070 Ti GAMING X TRIO, 12GB 192-bit GDDR6X, PCI Express 4.0",RTX 4070 TI GAMING X TRIO 12G,"$7,147.00","$16,479.00",$99.00,30
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$4,973.00","$5,529.00",$99.00,93
"Tarjeta de Video ASUS NVIDIA TUF GeForce GTX 1660 SUPER Gaming OC, 6GB 192-bit GDDR6, PCI Express x16 3.0",90YV0DT2-MVAA00,"$7,909.00","$4,509.00",$99.00,¡1
"Tarjeta de Video Gigabyte GeForce RTX 3060 Eagle OC, 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060EAGLE OC-12GD,"$9,394.00","$6,489.00",$99.00,2
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 2060 D6 6G (rev. 2.0), 6GB 192-bit GDDR6, PCI Express x16 3.0",GV-N2060D6-6GD REV2.0,"$24,988.00","$8,329.00",$99.00,3
"Tarjeta de Video MSI NVIDIA GeForce RTX 4080 16GB Ventus 3X OC, 16GB 256-bit GDDR6X, PCI Express 4.0",RTX 4080 16GB VENTUS 3X OC,"$3,230.00","$22,819.00",$99.00,16
"Tarjeta de Video MSI NVIDIA GeForce GTX 1650 D6 VENTUS XS OC, 4GB 128-bit GDDR6, PCI Express x16 3.0",GTX 1650 D6 VENTUS XS OC,"$6,187.00","$2,869.00",$99.00,¡1
"Tarjeta de Video AMD Radeon Pro WX 2100, 2GB 64-bit GDDR5, PCI Express x16 3.0",100-506001,"$3,269.00","$2,709.00",$99.00,34
"Tarjeta de Video ASUS NVIDIA TUF Gaming GeForce RTX 4060 Ti OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0J50-M0AA00,"$9,768.00","$8,359.00",$99.00,4
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 4080 16GB GAMING OC, 16GB 256-bit GDDR6X, PCI Express 4.0",GV-N4080GAMING OC-16GD,"$26,278.00","$24,029.00",$99.00,36
"Tarjeta de Video Sapphire NITRO+ AMD Radeon RX 6650 XT GAMING, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",11319-01-20G,"$7,959.00","$6,879.00",$99.00,11
"Tarjeta de Video Zotac NVIDIA GeForce RTX 4090 Gaming Trinity OC, 24GB 384-bit GDDR6X, PCI Express x16 4.0",ZT-D40900J-10P,"$32,734.00","$30,349.00",$99.00,¡1
"Tarjeta de Video ASUS TUF Gaming NVIDIA GeForce GTX 1660 SUPER, 6GB 192-bit GDDR6, PCI Express 3.0",TUF-GTX1660S-6G-GAMING,"$5,419.00","$4,549.00",$99.00,8
